geography,geographycode,April_2020,April_2021,August_2020,December_2020,February_2021,January_2021,July_2020,June_2020,March_2020,March_2021,May_2020,November_2020,October_2020,September_2020,Total,Young,childrens,old,Total_For_Disability,Day_to_Dayactivitieslimitedalittle,Day_to_Dayactivitieslimitedalot,Day_to_Dayactivitiesnotlimited,Unshareddwelling,Shareddwellings
Adur,E07000223,22,0,0,1,13,29,0,0,0,2,15,0,2,3,87,31343,8931,17778,61182,6710,5592,48880,27647,6
Allerdale,E07000026,42,1,8,13,76,72,4,4,1,9,15,12,2,0,259,50017,13298,27680.1,96422,10309,9718,76395,45430,3
Amber Valley,E07000032,54,1,1,30,51,74,2,11,4,12,25,34,6,1,306,65721,17428,31999.8,122309,13255,11554,97500,54930,3
Arun,E07000224,31,3,0,17,80,132,0,7,1,15,25,6,2,1,320,72338,19077,50732.5,149518,17505,13984,118029,70115,75
Ashfield,E07000170,71,4,0,27,72,68,5,10,1,29,51,32,7,1,378,65906,18592,27858,119497,13523,13340,92634,52786,10
Ashford,E07000105,48,1,4,36,38,93,22,41,1,13,40,3,2,5,347,62600,19871,27686.6,117956,10669,8416,98871,49726,21
Aylesbury Vale,E07000004,82,2,3,19,78,96,5,6,1,19,30,14,1,0,356,97056,29037,36816.1,174137,13733,9921,150483,71861,22
Babergh,E07000200,33,1,0,30,18,58,0,6,2,6,17,31,2,0,204,43757,12765,25785.1,87740,8910,6333,72497,39010,5
Barking and Dagenham,E09000002,119,3,0,65,66,161,0,4,15,9,20,41,6,4,513,106247,40787,26153.4,185911,14876,15584,155451,71020,59
Barnet,E09000003,321,4,1,51,81,246,2,6,46,20,55,27,5,2,867,208969,61780,64380.8,356386,26428,23475,306483,139090,256
Barnsley,E08000016,111,8,0,110,76,98,6,30,1,32,80,135,28,2,717,127678,35312,54893.4,231221,26121,29147,175953,104926,49
Barrow-in-Furness,E07000027,56,1,2,10,13,22,3,1,3,5,9,29,10,1,165,37158,10141,17807.3,69087,8062,8961,52064,33011,7
Basildon,E07000066,126,4,0,53,64,162,12,17,1,26,48,29,13,0,555,96188,29033,38424.1,174497,16040,14296,144161,74029,3
Basingstoke and Deane,E07000084,66,3,0,22,33,86,0,15,4,13,23,22,0,0,287,95520,27570,34378.7,167799,13402,9326,145071,70924,12
Bassetlaw,E07000171,32,5,1,52,16,28,3,16,0,7,16,30,6,2,214,60601,16417,29070.5,112863,12409,12202,88252,49392,9
Bath and North East Somerset,E06000022,62,0,0,25,82,58,2,3,8,7,12,4,2,0,265,99695,24134,42659.3,176016,16028,12267,147721,75821,110
Bedford,E06000055,69,4,3,45,102,122,13,17,12,13,51,23,3,2,479,87433,25920,34209.9,157479,14020,11181,132278,67245,88
Bexley,E09000004,149,5,4,42,80,176,7,11,9,16,38,33,7,2,579,127850,39122,50045.8,231997,19996,17057,194944,95000,37
